class,countInstances,timeInSec
http://yago-knowledge.org/resource/Military_aviation,1,0
http://yago-knowledge.org/resource/Shirt,1,0
http://yago-knowledge.org/resource/Game_jam,1,0
http://yago-knowledge.org/resource/Candlestick,1,0
http://yago-knowledge.org/resource/Financial_endowment,1,0
http://yago-knowledge.org/resource/Plant_morphology,1,0
http://yago-knowledge.org/resource/Type_locality_(geology),1,0
http://yago-knowledge.org/resource/Walled_garden,1,0
http://yago-knowledge.org/resource/Open-pit_mining,1,0
http://yago-knowledge.org/resource/Chahartaq_(architecture),1,0
http://yago-knowledge.org/resource/Sandal,1,0
http://yago-knowledge.org/resource/Isotopes_of_calcium,1,0
http://yago-knowledge.org/resource/Forester's_lodge,1,0
http://yago-knowledge.org/resource/Epigraph_(literature),1,0
http://yago-knowledge.org/resource/Atelier,1,0
http://yago-knowledge.org/resource/Rugby_union_positions,1,0
http://schema.org/RecyclingCenter,1,0
http://yago-knowledge.org/resource/Isotopes_of_yttrium,1,0
http://yago-knowledge.org/resource/Burschenschaft,1,0
http://yago-knowledge.org/resource/Feuilleton,1,0
http://yago-knowledge.org/resource/Estrada_Real,1,0
http://yago-knowledge.org/resource/Tour_de_Taiwan,1,0
http://yago-knowledge.org/resource/Nagoya_Women's_Marathon,1,0
http://yago-knowledge.org/resource/Corporated_law_firm,1,0
http://yago-knowledge.org/resource/President_(corporate_title),1,0
http://yago-knowledge.org/resource/Chabad_niggunim,1,0
http://yago-knowledge.org/resource/Prison_library,1,0
http://yago-knowledge.org/resource/Symbiotic_binary,1,0
http://yago-knowledge.org/resource/Tour_de_l'Avenir,1,0
http://yago-knowledge.org/resource/Calendar_day,1,0
http://yago-knowledge.org/resource/Pavement_(architecture),1,0
http://yago-knowledge.org/resource/Poreč_Trophy,1,0
http://yago-knowledge.org/resource/Pin,1,0
http://yago-knowledge.org/resource/GWR_4575_Class,1,0
http://yago-knowledge.org/resource/Genetics,1,0
http://yago-knowledge.org/resource/Urban_unit,1,0
http://yago-knowledge.org/resource/Spoon,1,0
http://yago-knowledge.org/resource/Dwars_door_West-Vlaanderen,1,0
http://yago-knowledge.org/resource/Elections_in_Spain,1,0
http://yago-knowledge.org/resource/Sonar,1,0
http://yago-knowledge.org/resource/Phonograph_record,1,0
http://yago-knowledge.org/resource/Piano,1,0
http://yago-knowledge.org/resource/Architectural_sculpture,1,0
http://yago-knowledge.org/resource/Act_(drama),1,0
http://yago-knowledge.org/resource/Barometer,1,0
http://yago-knowledge.org/resource/Legislative_districts_of_the_Philippines,1,0
http://yago-knowledge.org/resource/Holocaust_survivors,1,0
http://yago-knowledge.org/resource/Presidium,1,0
http://yago-knowledge.org/resource/Op-ed,1,0
http://yago-knowledge.org/resource/Introduction_(writing),1,0
http://yago-knowledge.org/resource/Pays_(France),1,0
http://yago-knowledge.org/resource/Fujitsu_Cup,1,0
http://yago-knowledge.org/resource/Awrajja,1,0
http://yago-knowledge.org/resource/Prose,1,0
http://yago-knowledge.org/resource/Octene,1,0
http://yago-knowledge.org/resource/Black_Forest_Open,1,0
http://yago-knowledge.org/resource/Variation_of_the_field,1,0
http://yago-knowledge.org/resource/Landed_property,1,0
http://yago-knowledge.org/resource/Oligosaccharide,1,0
http://yago-knowledge.org/resource/Crosier,1,0
http://yago-knowledge.org/resource/Pole_of_inaccessibility,1,0
http://yago-knowledge.org/resource/Postern,1,0
http://yago-knowledge.org/resource/List_of_European_Council_meetings,1,0
http://yago-knowledge.org/resource/Vuelta_Ciclista_a_Costa_Rica,1,0
http://yago-knowledge.org/resource/Valencian_trinquet,1,0
http://yago-knowledge.org/resource/Costume,1,0
http://yago-knowledge.org/resource/List_of_constituencies_of_the_National_Assembly_of_France,1,0
http://yago-knowledge.org/resource/Stole_(vestment),1,0
http://yago-knowledge.org/resource/Concorde,1,0
http://yago-knowledge.org/resource/Cafeteria,1,0
http://yago-knowledge.org/resource/Eurocon,1,0
http://yago-knowledge.org/resource/Irregular_variable,1,0
http://yago-knowledge.org/resource/Isotopes_of_actinium,1,0
http://yago-knowledge.org/resource/Karst_spring,1,0
http://yago-knowledge.org/resource/Germany_at_the_FIFA_World_Cup,1,0
http://yago-knowledge.org/resource/Roland_(statue),1,0
http://yago-knowledge.org/resource/Traveling_library,1,0
http://yago-knowledge.org/resource/Estates_General_(France),1,0
http://yago-knowledge.org/resource/Reefer_ship,1,0
http://yago-knowledge.org/resource/Re-recording_(music),1,0
http://yago-knowledge.org/resource/Eucharistic_miracle,1,0
http://yago-knowledge.org/resource/Electronic_document,1,0
http://yago-knowledge.org/resource/Headframe,1,0
http://yago-knowledge.org/resource/Cross-reference,1,0
http://yago-knowledge.org/resource/Isotopes_of_scandium,1,0
http://yago-knowledge.org/resource/Dual_education_system,1,0
http://yago-knowledge.org/resource/Preaching_cross,1,0
http://yago-knowledge.org/resource/Chandelier,1,0
http://yago-knowledge.org/resource/Women's_Tour_Down_Under,1,0
http://yago-knowledge.org/resource/UMB_World_Three-cushion_Championship,1,0
http://yago-knowledge.org/resource/Castellany,1,0
http://yago-knowledge.org/resource/Tetragraph,1,0
http://yago-knowledge.org/resource/LSWR_O2_class,1,0
http://yago-knowledge.org/resource/Letter_to_the_editor,1,0
http://yago-knowledge.org/resource/Fauteuil,1,0
http://yago-knowledge.org/resource/Inland_dune,1,0
http://yago-knowledge.org/resource/Volunteer_fire_department,1,0
http://yago-knowledge.org/resource/Physician,1,0
http://yago-knowledge.org/resource/Volta_ao_Alentejo,1,0
